USERID,NAME,SURNAME,EMAIL,GENDER,RACE,AGE,PROVINCE,SOCIAL_MEDIA_HANDLE,EMAIL_CLEANED,SOCIAL_MEDIA_HANDLE_CLEANED,AGE_GROUP
34,Chas ,Biggers,Chas 351@yahoo.com,male,white,55,Free State,@Chas 35,chas351@yahoo.com,@chas35,55-64
39,Wilburn ,Crotty,Wilburn 303@mail.com,male,black,54,Eastern Cape,@Wilburn 30,wilburn303@mail.com,@wilburn30,45-54
63,Emerson ,Slane,Emerson 243@mail.com,male,black,51,Kwazulu Natal,@Emerson 24,emerson243@mail.com,@emerson24,45-54
90,Stacy ,Sytsma,Stacy 273@mail.com,male,coloured,49,Kwazulu Natal,@Stacy 27,stacy273@mail.com,@stacy27,45-54
97,Lucas ,Woolard,Lucas 233@mail.com,male,coloured,48,Free State,@Lucas 23,lucas233@mail.com,@lucas23,45-54
104,Randy ,Tancredi,Randy 393@mail.com,male,black,47,Gauteng,@Randy 39,randy393@mail.com,@randy39,45-54
107,Trudie ,Restivo,Trudie 502@gmail.com,female,black,47,Gauteng,@Trudie 50,trudie502@gmail.com,@trudie50,45-54
108,Chas ,Luthy,Chas 352@gmail.com,male,coloured,47,Western Cape,@Chas 35,chas352@gmail.com,@chas35,45-54
120,Jared ,Bilyeu,Jared 503@mail.com,male,coloured,46,Western Cape,@Jared 50,jared503@mail.com,@jared50,45-54
132,Carter ,Wigfall,Carter 33@mail.com,male,black,45,Gauteng,@Carter 3,carter33@mail.com,@carter3,45-54
135,Emerson ,Beville,Emerson 241@yahoo.com,male,other,45,Gauteng,@Emerson 24,emerson241@yahoo.com,@emerson24,45-54
138,Abel ,Hier,Abel 185@mailxyz.com,male,,45,Eastern Cape,@Abel 18,abel185@mailxyz.com,@abel18,45-54
146,Filiberto ,Jacox,Filiberto 43@mail.com,male,,45,Western Cape,@Filiberto 4,filiberto43@mail.com,@filiberto4,45-54
164,Claud ,Borelli,Claud 345@mailxyz.com,male,black,43,Gauteng,@Claud 34,claud345@mailxyz.com,@claud34,35-44
206,Valentine ,Tatham,Valentine 471@yahoo.com,male,coloured,42,Free State,@Valentine 47,valentine471@yahoo.com,@valentine47,35-44
212,Kyle ,Martello,Kyle 63@mail.com,male,black,41,Gauteng,@Kyle 6,kyle63@mail.com,@kyle6,35-44
249,Markus ,Wigfall,Markus 192@gmail.com,male,black,40,Gauteng,@Markus 19,markus192@gmail.com,@markus19,35-44
305,Jacinto ,Hier,Jacinto 254@abcmail.com,male,black,39,Eastern Cape,@Jacinto 25,jacinto254@abcmail.com,@jacinto25,35-44
317,Lane ,Hier,Lane 111@yahoo.com,male,black,38,North West,@Lane 11,lane111@yahoo.com,@lane11,35-44
325,Torrie ,Mcclaine,Torrie 71@yahoo.com,female,black,38,Gauteng,@Torrie 7,torrie71@yahoo.com,@torrie7,35-44
338,Irving ,Vital,Irving 51@yahoo.com,male,black,38,Limpopo,@Irving 5,irving51@yahoo.com,@irving5,35-44
345,Earl ,Mcclaine,Earl 423@mail.com,male,black,38,Gauteng,@Earl 42,earl423@mail.com,@earl42,35-44
385,Robby ,Slane,Robby 165@mailxyz.com,male,black,37,Gauteng,@Robby 16,robby165@mailxyz.com,@robby16,35-44
444,Kyle ,Mcculloch,Kyle 65@mailxyz.com,male,black,35,Gauteng,@Kyle 6,kyle65@mailxyz.com,@kyle6,35-44
450,Malika ,Sieren,Malika 84@abcmail.com,female,,35,Eastern Cape,@Malika 8,malika84@abcmail.com,@malika8,35-44
464,Luanna ,Hoadley,Luanna 352@gmail.com,female,black,35,Gauteng,@Luanna 35,luanna352@gmail.com,@luanna35,35-44
468,Shandra ,Mccollum,Shandra 483@mail.com,female,black,34,Kwazulu Natal,@Shandra 48,shandra483@mail.com,@shandra48,25-34
476,Hollis ,Mcculloch,Hollis 381@yahoo.com,male,black,34,Mpumalanga,@Hollis 38,hollis381@yahoo.com,@hollis38,25-34
477,Hyman ,Condie,Hyman 85@mailxyz.com,male,black,34,North West,@Hyman 8,hyman85@mailxyz.com,@hyman8,25-34
479,Hollis ,Beville,Hollis 384@abcmail.com,male,black,34,Gauteng,@Hollis 38,hollis384@abcmail.com,@hollis38,25-34
507,Loyd ,Lavoie,Loyd 491@yahoo.com,male,black,34,Gauteng,@Loyd 49,loyd491@yahoo.com,@loyd49,25-34
537,Romeo ,Lavoie,Romeo 371@yahoo.com,male,coloured,33,Gauteng,@Romeo 37,romeo371@yahoo.com,@romeo37,25-34
547,Donald ,Mcclaine,Donald 225@mailxyz.com,male,indian_asian,33,Gauteng,@Donald 22,donald225@mailxyz.com,@donald22,25-34
551,Lucas ,Lavoie,Lucas 233@mail.com,male,black,33,Limpopo,@Lucas 23,lucas233@mail.com,@lucas23,25-34
553,Stacy ,Condie,Stacy 274@abcmail.com,male,white,33,Limpopo,@Stacy 27,stacy274@abcmail.com,@stacy27,25-34
623,Royal ,Biggers,Royal 172@gmail.com,male,black,31,Gauteng,@Royal 17,royal172@gmail.com,@royal17,25-34
649,Bret ,Gettys,Bret 313@mail.com,male,black,31,Mpumalanga,@Bret 31,bret313@mail.com,@bret31,25-34
655,Hugh,Mcculloch,Hugh15@mailxyz.com,male,white,31,Gauteng,@Hugh1,hugh15@mailxyz.com,@hugh1,25-34
666,Cody ,Luthy,Cody 123@mail.com,male,coloured,31,Mpumalanga,@Cody 12,cody123@mail.com,@cody12,25-34
675,Lillie ,Langenfeld,Lillie 231@yahoo.com,female,black,31,Gauteng,@Lillie 23,lillie231@yahoo.com,@lillie23,25-34
682,Abel ,Slane,Abel 185@mailxyz.com,male,black,30,Gauteng,@Abel 18,abel185@mailxyz.com,@abel18,25-34
696,Shelley ,Reisinger,Shelley 434@abcmail.com,female,white,30,Gauteng,@Shelley 43,shelley434@abcmail.com,@shelley43,25-34
701,Trudie ,Restivo,Trudie 183@mail.com,female,black,30,Gauteng,@Trudie 18,trudie183@mail.com,@trudie18,25-34
775,Anette ,Leicht,Anette 394@abcmail.com,female,coloured,29,Gauteng,@Anette 39,anette394@abcmail.com,@anette39,25-34
805,Cordie ,Singer,Cordie 331@yahoo.com,female,white,29,Gauteng,@Cordie 33,cordie331@yahoo.com,@cordie33,25-34
806,Michel ,Holt,Michel 203@mail.com,male,indian_asian,29,Gauteng,@Michel 20,michel203@mail.com,@michel20,25-34
830,Yong ,Luthy,Yong 484@abcmail.com,male,black,28,Northern Cape,@Yong 48,yong484@abcmail.com,@yong48,25-34
850,Romeo ,Crotty,Romeo 373@mail.com,male,coloured,28,Western Cape,@Romeo 37,romeo373@mail.com,@romeo37,25-34
